Server_Namespaces_http___Novia_AutomationTechnology_nicla_sense__StaticNumericNodeIdRange,6131,Variable
Server_Namespaces_http___Novia_AutomationTechnology_nicla_sense__StaticStringNodeIdPattern,6132,Variable
board_accelerometer_x,6133,Variable
board_accelerometer_x_EngineeringUnits,6134,Variable
board_accelerometer_x_EURange,6135,Variable
board_accelerometer_y,6136,Variable
board_accelerometer_y_EngineeringUnits,6137,Variable
board_accelerometer_y_EURange,6138,Variable
board_accelerometer_z,6139,Variable
board_accelerometer_z_EngineeringUnits,6140,Variable
board_accelerometer_z_EURange,6141,Variable
board_bsec_accuracy,6142,Variable
board_bsec_accuracy_EngineeringUnits,6143,Variable
board_bsec_accuracy_EURange,6144,Variable
board_bsec_b_voc_eq,6145,Variable
board_bsec_b_voc_eq_EngineeringUnits,6146,Variable
board_bsec_b_voc_eq_EURange,6147,Variable
board_bsec_co2_eq,6148,Variable
board_bsec_co2_eq_EngineeringUnits,6149,Variable
board_bsec_co2_eq_EURange,6150,Variable
board_bsec_comp_g,6151,Variable
board_bsec_comp_g_EngineeringUnits,6152,Variable
board_bsec_comp_g_EURange,6153,Variable
board_bsec_comp_h,6154,Variable
board_bsec_comp_h_EngineeringUnits,6155,Variable
board_bsec_comp_h_EURange,6156,Variable
board_bsec_comp_t,6157,Variable
board_bsec_comp_t_EngineeringUnits,6158,Variable
board_bsec_comp_t_EURange,6159,Variable
board_bsec_iaq,6160,Variable
board_bsec_iaq_EngineeringUnits,6161,Variable
board_bsec_iaq_EURange,6162,Variable
board_bsec_iaq_s,6163,Variable
board_bsec_iaq_s_EngineeringUnits,6164,Variable
board_bsec_iaq_s_EURange,6165,Variable
board_gas_value,6166,Variable
board_gas_value_EngineeringUnits,6167,Variable
board_gas_value_EURange,6168,Variable
board_gyroscope_x,6169,Variable
board_gyroscope_x_EngineeringUnits,6170,Variable
board_gyroscope_x_EURange,6171,Variable
board_gyroscope_y,6172,Variable
board_gyroscope_y_EngineeringUnits,6173,Variable
board_gyroscope_y_EURange,6174,Variable
board_gyroscope_z,6175,Variable
board_gyroscope_z_EngineeringUnits,6176,Variable
board_gyroscope_z_EURange,6177,Variable
board_humidity_value,6178,Variable
board_humidity_value_EngineeringUnits,6179,Variable
board_humidity_value_EURange,6180,Variable
board_magnetometer_x,6181,Variable
board_magnetometer_x_EngineeringUnits,6182,Variable
board_magnetometer_x_EURange,6183,Variable
board_magnetometer_y,6184,Variable
board_magnetometer_y_EngineeringUnits,6185,Variable
board_magnetometer_y_EURange,6186,Variable
board_magnetometer_z,6187,Variable
board_magnetometer_z_EngineeringUnits,6188,Variable
board_magnetometer_z_EURange,6189,Variable
board_pressure_value,6190,Variable
board_pressure_value_EngineeringUnits,6191,Variable
board_pressure_value_EURange,6192,Variable
board_quaternion_w,6193,Variable
board_quaternion_w_EngineeringUnits,6194,Variable
board_quaternion_w_EURange,6195,Variable
board_quaternion_x,6196,Variable
board_quaternion_x_EngineeringUnits,6197,Variable
board_quaternion_x_EURange,6198,Variable
board_quaternion_y,6199,Variable
board_quaternion_y_EngineeringUnits,6200,Variable
board_quaternion_y_EURange,6201,Variable
board_quaternion_z,6202,Variable
board_quaternion_z_EngineeringUnits,6203,Variable
board_quaternion_z_EURange,6204,Variable
board_temperature_value,6205,Variable
board_temperature_value_EngineeringUnits,6206,Variable
board_temperature_value_EURange,6207,Variable
